Name,Status,YearClosed,Names_Prior_Manual,MillType,Feedstock,Products,Species,City,State,Zip,PrimaryKey,latitude,longitude
Marysville Forest Products,Closed,1995,Erickson,Sawmill,Logs,Lumber,,Marysville,CA,95901 ?,9072,39.074678,-121.51711
Sequoia Forest Products,Closed,1995,,Sawmill,Logs,Lumber,,North Fork,CA,93643 ?,9079,37.234574,-119.493647
Sierra Mountain Mills,Closed,1995,,Sawmill,Logs,,,North San Juan,CA,,9239,39.424094,-121.066485
Redwood Empire Philo Sawmill,Closed,1995,,Sawmill,Logs,Lumber,,Philo,CA,95466,9004,39.066464,-123.442657
Surprise Valley Lumber Co.,Closed,1996,,Sawmill,Logs,Lumber,,Cedarville,CA,96104 ?,9035,41.532792,-120.182516
Preston Lumber Corporation,Closed,1996,"Richardson Lumber, Davies Lumber",Sawmill,Logs,,,Cloverdale,CA,95425 ?,9143,38.829085,-123.01282
Norby Lumber Co.,Closed,1996,,Sawmill,Logs,Lumber,,Madera,CA,93638 ?,9069,36.918092,-119.973046
Sierra Mountain Mills,Closed,1996,,Sawmill,Logs,Lumber,,North San Juan/Camptonville,CA,95960 ?,9080,39.424614,-121.066995
Siskiyou Plumas Lumber,Closed,1996,,Sawmill,Logs,Lumber,,Quincy,CA,95971 ?,9091,39.941512,-120.915373
Butler Forest Products,Closed,1997,,Sawmill,Logs,Lumber,,Ft. Jones,CA,96032 ?,9055,41.579787,-122.70358
SPI Hayfork Sawmill,Closed,1997,,Sawmill,Logs,Lumber,,Hayfork,CA,96041 ?,9060,40.55016,-123.146741
Butler Forest Products,Closed,1997,,Sawmill,Logs,Lumber,,Redding,CA,96001 ?,9097,40.500658,-122.450707
Louisiana Pacific,Closed,1997,,Sawmill,Logs,Lumber,,Willits,CA,95490 ?,9128,39.450394,-123.350192
Georgia Pacific,Closed,1998,American Forest Products,Sawmill,Logs,Lumber,,Martell/Jackson,CA,95642 ?,9070,38.367368,-120.808209
Terra Mai,Closed,1998,Jefferson Lumber Company,Small Production Mill,Logs,Lumber,,McCloud,CA,96057 ?,9075,41.263896,-122.117614
Deutschman Lumber Co.,Closed,1999,,Sawmill,Logs,Lumber,,Sonora,CA,95370-8910,9106,38.002344,-120.263451
Louisiana Pacific (Trinidad),Closed,1999,Hammond Lumber Company,Sawmill,Logs,Lumber,,Trinidad,CA,95570 ?,9114,41.149698,-124.102111
California Cedar Products Company,Closed,2000,"California Cedar Products, P&M Cedar Products, California Cedar Products",Sawmill,Logs,Lumber,Incense Cedar,McCloud,CA,96057,9074,41.263646,-122.124519
P&M Pioneer Mill,Closed,2000,,Sawmill,Logs,Lumber,,Pioneer,CA,95666 ?,9087,38.445875,-120.529679
Big Valley Lumber Company,Closed,2001,,Sawmill,Logs,Lumber,,Bieber,CA,96009,9022,41.131333,-121.136074
Sequoia Forest Products,Closed,2001,,Sawmill,Logs,Lumber,,Dinuba/Reedley,CA,93654 ?,9045,36.569581,-119.418984
Sierra Cedar Products Sawmill,Closed,2001,Sierra Cedar Products,Sawmill,Logs,Lumber,,Marysville,CA,95901,9073,39.10472026,-121.5615753
Eel River (Redcrest),Closed,2001,,Sawmill,Logs,Lumber,,Redcrest,CA,95569 ?,9096,40.397451,-123.940738
Pacific Rim Forest Products,Closed,2002,,Sawmill,Logs,Lumber,,Canby,CA,96015 ?,9031,41.444029,-120.870942
Georgia Pacific,Closed,2002,,Sawmill,Logs,Lumber,,Ft. Bragg,CA,95437 ?,9053,39.444586,-123.810007
SPI Loyalton Sawmill,Closed,2002,,Sawmill,Logs,Lumber,,Loyalton,CA,96118 ?,9068,39.669485,-120.240116
J. W. Bamford Inc. (Apex),Closed,2002,,Sawmill,Logs,Lumber,,Oroville,CA,95966 ?,9084,39.461387,-121.556893
Pacific Lumber Company,Closed,2003,,Sawmill,Logs,Lumber,,Fortuna,CA,95540 ?,9052,40.587407,-124.152061
Blue Lake Forest Products,Idle,2003,,Sawmill,Logs,Lumber,,McKinleyville,CA,95519 ?,9076,40.899185,-124.01923
Wisconsin-California,Closed,2003,,Sawmill,Logs,Lumber,,Redding,CA,96001 ?,9099,40.503613,-122.374736
Mendocino Forest Products (Fort Bragg),Closed,2004,"Georgia Pacific, Louisiana Pacific",Sawmill,Logs,Lumber,,Ft. Bragg,CA,95437 ?,9054,39.383489,-123.806113
SPI Susanville Sawmill,Closed,2005,,Sawmill,Logs,Lumber,,Susanville,CA,96130 ?,9110,40.408382,-120.648294
Eel River (Mill A),Closed,2007,,Sawmill,Logs,Lumber,"Redwood, Douglas-fir, Hemlock",Fortuna,CA,95540 ?,9051,40.513799,-124.124075
Harwood Products (Branscomb),Closed,2008,"Harwood Forest Products, Branscomb, CA",Sawmill,Logs,Lumber,"Redwood, Douglas-fir, Hemlock",Branscomb,CA,95417,9023,39.65411548,-123.6269559
SPI Camino Sawmill,Closed,2009,Michigan California Lumber Company,Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, Hemlock, Sugar Pine",Camino,CA,95709,9030,38.738874,-120.681931
California Redwood Company (Orick),Closed,2009,"Arcata Forest Products, Arcata Redwood Company, Simpson Timber",Sawmill,Logs,Lumber,,Orick,CA,95555 ?,9081,41.29238545,-124.0517323
Sound Stud Sawmill,Idle,2009,"Sound Stud Sawmill, Anderson, CA",Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Hemlock",Yuba City,CA,96007,9134,40.484703,-122.345292
Pacific Lumber Company,Closed,2010,,Sawmill,Logs,Lumber,,Carlotta,CA,95547 ?,9032,40.535207,-124.066696
Evergreen Pulp,Closed,2010,"Louisiana Pacific, GP, Simpson, ETC",Pulp Mill,Chips,Pulp,,Samoa,CA,95564 ?,9102,40.80577621,-124.1958033
Hambro Forest Products Particle Bd.,Closed,2012,"Hambro Forest Products, Inc.",Composite Panel,"Chips, Shavings, Sawdust",Particleboard,,Crescent City,CA,95531,9041,41.75348006,-124.1753922
Trinity River Korbel Sawmill,Active Project,2015,"Simpson Timber Co., Korbel, CA, California Redwood Company (Korbel)",Sawmill,Logs,Lumber,"Redwood, Douglas-fir",Arcata,CA,95518,9013,40.87184621,-123.9632726
SPI Arcata Sawmill,Idle,2016,Sierra Pacific Industries,Sawmill,Logs,Lumber,"Douglas-fir, Ponderosa Pine, Incense Cedar, True fir",Arcata,CA,95521,9017,40.865848,-124.152849
Rough & Ready Lbr. Co.,Idle,2016,,Sawmill,Logs,Lumber,"PP, DF (no WF or IC)",Cave Junction,OR,97523,9033,42.10528814,-123.6787754
