longitude,latitude,organization_name,city,state,year,project_description,award_amount,grant_iteration,extra,date,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status,column_1449770279916
,,MA Statewide Wood Energy Action Team,Marlborough, MA,2015,Massachusetts Forest Alliance,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000211FF46C56E351C09548A297512C4540,143,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Pilot Supply Chain for Advanced Manufacture of CLT in the Pacific Northwest,Pullman, WA,2015,Washington State University,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000486DE2E47E4B5DC0E1455F419A5D4740,168,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Virginia Statewide Wood Energy Team,Orange, VA,2015,Center for Natural Capital,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000FF78AF5A99765DC0D40E7F4DD6E44040,165,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-103.230889,44.081165,Baker Timber Products,Rapid City,SD,2007,,250000,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E61000006500A8E2C6CE59C0384A5E9D630A4640,1,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-105.216289,35.595682,Barela Timber Management Co Inc,Las Vegas,NM,2007,,225000,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E6100000035FD1ADD74D5AC06E68CA4E3FCC4140,2,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-113.896619,45.176675,Forest Fuels Solutions,Salmon,ID,2007,,250000,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E6100000397EA83462795CC0AA8251499D964640,6,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-109.950879,34.136225,High Country Green Waste LLC,Lakeside,AZ,2007,,249400,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E610000001DD9733DB7C5BC0E5F21FD26F114140,7,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-114.314901,48.20164,John Jump Trucking,Kalispell,MT,2007,,249000,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E6100000931E865627945CC060C8EA56CF194840,9,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-121.175874,44.27257,JTS Animal Bedding,Redmond,OR,2007,,250000,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E6100000DE8D0585414B5EC074EFE192E3224640,10,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
-118.947808,44.416132,Malheur Lumber Company,John Day,OR,2007,,250000,FS WBU Grant,,2007-01-01 00:00:00+00,0101000020E6100000C7B8E2E2A8BC5DC0D76839D043354640,13,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
